p_rel,T_0,target,exp_a,exp_b,exp_c,exp_d,exp_e,exp_f,exp_g,exp_h,exp_i,exp_j,exp_k,exp_l,exp_m,exp_n
0.8575,47.1,0.07410,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8573,56.2,0.07066,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,62.8,0.06855,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,66.3,0.06833,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8571,63.3,0.06862,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,69.2,0.06731,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,36.4,0.07554,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,44.1,0.07319,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1450,46.7,0.07139,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1449,47.4,0.07102,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,50.0,0.07128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1448,49.6,0.07045,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,78.7,0.06535,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1440,97.2,0.06135,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1430,103.3,0.06061,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1430,106.8,0.06002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,109.9,0.05974,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1451,111.5,0.05918,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4297,44.7,0.07278,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4293,51.6,0.07009,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4296,54.0,0.06890,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4301,57.7,0.06782,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4299,58.9,0.06685,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4295,58.6,0.06730,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4286,92.8,0.06235,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4292,110.6,0.05843,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4288,119.4,0.05773,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4288,123.0,0.05689,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4300,127.6,0.05600,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4301,128.2,0.05537,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7137,52.7,0.07104,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7137,61.0,0.06716,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7133,67.0,0.06630,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7136,68.7,0.06501,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7133,68.1,0.06494,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7135,71.6,0.06430,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7123,105.1,0.05901,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7119,122.9,0.05555,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7119,132.2,0.05431,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7118,137.7,0.05326,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7116,140.6,0.05243,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7113,143.6,0.05206,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,17.8,0.10351,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,20.7,0.10114,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,21.4,0.10069,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,22.2,0.10034,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,23.4,0.09953,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,23.4,0.09974,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,26.7,0.10037,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,31.3,0.09817,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,33.3,0.09744,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,34.2,0.09672,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,34.6,0.09573,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,35.0,0.09657,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,12.8,0.10469,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,13.9,0.10412,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,13.9,0.10349,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,13.5,0.10368,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,13.5,0.10371,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,13.2,0.10415,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,39.4,0.09304,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5713,46.3,0.08936,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,49.6,0.08788,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,51.5,0.08691,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5710,52.4,0.08650,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,53.1,0.08652,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8571,16.3,0.10301,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8576,17.9,0.10139,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,18.3,0.10125,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8570,18.1,0.10128,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8566,17.9,0.10105,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8564,17.9,0.10149,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8558,54.7,0.08628,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8559,64.6,0.08122,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8563,68.8,0.07940,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8557,71.8,0.07842,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8561,71.4,0.07838,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8560,72.5,0.07837,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1411,40.3,0.09132,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1417,46.9,0.08715,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1408,50.0,0.08487,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1412,52.2,0.08538,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1416,52.2,0.08408,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1415,53.5,0.08362,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1407,86.6,0.07552,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1403,103.6,0.07233,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1406,112.2,0.07110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1399,117.0,0.07127,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1399,119.7,0.07119,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1412,121.8,0.07057,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4246,47.8,0.08799,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4245,57.0,0.08368,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4247,60.1,0.08194,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4247,61.7,0.08049,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4248,63.5,0.07970,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4248,64.4,0.07925,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4241,100.9,0.07392,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4240,123.0,0.07128,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4244,130.9,0.07061,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4242,136.8,0.06982,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4253,139.5,0.06961,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.4250,143.9,0.06951,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,56.0,0.08698,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,66.6,0.08174,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7087,71.2,0.08039,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7088,72.3,0.07857,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7089,74.0,0.07733,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7085,76.5,0.07746,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7073,119.7,0.07501,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7088,138.4,0.07119,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7075,148.7,0.06994,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7075,154.7,0.06991,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7092,159.7,0.06970,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7086,163.5,0.06998,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,17.0,0.10075,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2864,19.2,0.09949,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,20.3,0.10022,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,21.1,0.09852,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,21.6,0.09799,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2865,22.2,0.09784,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,24.7,0.09649,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,29.3,0.09521,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,30.2,0.09396,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2862,31.3,0.09448,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2861,31.1,0.09417,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2861,32.2,0.09374,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5726,11.9,0.10146,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,12.6,0.10090,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,12.4,0.10149,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,12.8,0.10077,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5725,12.1,0.10041,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,11.7,0.10153,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,35.7,0.09187,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,42.7,0.08918,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,45.6,0.08860,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,47.1,0.08787,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,47.6,0.08781,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5724,48.7,0.08703,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,15.0,0.10111,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,16.5,0.10044,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,15.6,0.10038,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,16.5,0.09998,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8585,16.3,0.10010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8586,15.9,0.09989,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8575,48.0,0.08761,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8575,57.1,0.08435,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8571,60.3,0.08220,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8569,63.2,0.08182,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8573,64.8,0.08150,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8573,65.7,0.08091,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1447,36.6,0.09158,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1448,44.5,0.08813,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,47.2,0.08677,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1445,48.2,0.08677,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1445,49.4,0.08538,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1442,50.5,0.08542,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1426,76.7,0.07827,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,94.3,0.07434,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,101.6,0.07337,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1449,105.5,0.07262,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1450,109.7,0.07200,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1450,109.5,0.07129,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4293,43.9,0.08820,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4294,51.6,0.08524,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4293,57.0,0.08331,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,59.3,0.08268,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,57.1,0.08226,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4296,60.8,0.08128,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4303,91.0,0.07464,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4304,106.9,0.07078,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4274,118.8,0.07013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4304,124.5,0.06948,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4306,128.2,0.06888,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.4305,130.9,0.06823,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7136,48.9,0.08669,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7133,62.1,0.08184,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,63.7,0.08064,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,66.8,0.07950,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7131,71.0,0.07835,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7127,72.1,0.07742,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7097,101.4,0.07264,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7109,120.5,0.06957,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7130,130.0,0.06866,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7130,137.2,0.06836,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7133,140.4,0.06763,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.7135,144.3,0.06750,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2863,17.2,0.11244,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,19.6,0.11100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,21.0,0.11008,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,21.6,0.10975,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2863,22.2,0.10923,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2864,22.7,0.10967,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,23.2,0.11035,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,27.8,0.10922,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,30.4,0.10810,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,30.4,0.10794,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,30.2,0.10825,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2861,31.0,0.10899,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5725,11.2,0.11507,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5725,12.6,0.11360,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,12.8,0.11379,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,13.0,0.11381,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,12.4,0.11343,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5724,11.9,0.11381,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,33.7,0.10573,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5705,41.6,0.10330,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,44.5,0.10214,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5706,46.1,0.10195,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,48.0,0.10183,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5723,48.5,0.10134,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8569,14.8,0.11515,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8568,16.7,0.11442,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8568,16.8,0.11395,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8564,17.4,0.11337,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8566,16.7,0.11377,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8566,16.7,0.11311,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8561,46.5,0.10157,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8559,56.8,0.09733,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8557,60.4,0.09581,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8556,63.9,0.09476,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8557,65.7,0.09412,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8553,66.3,0.09324,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1414,36.8,0.10486,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,42.8,0.10104,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,46.5,0.09968,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1412,48.3,0.09919,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1412,49.3,0.09831,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1411,50.7,0.09772,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1419,83.3,0.08931,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1402,98.2,0.08551,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1416,109.0,0.08327,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1414,111.7,0.08295,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1388,119.0,0.08208,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1415,117.9,0.08231,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4254,45.4,0.10098,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4246,53.8,0.09691,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,56.6,0.09487,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,61.0,0.09384,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4248,61.9,0.09366,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4249,63.9,0.09294,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4256,93.6,0.08621,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4256,113.9,0.08152,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4253,123.4,0.07994,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4250,131.5,0.07866,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4249,132.8,0.07845,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.4247,139.7,0.07849,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7073,51.6,0.09844,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7074,64.3,0.09294,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7077,65.5,0.09126,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7077,70.7,0.09044,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7075,76.9,0.08819,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7075,72.5,0.08868,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,103.3,0.08369,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7089,125.8,0.07857,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7090,138.3,0.07690,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,145.6,0.07638,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7085,151.8,0.07610,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.7086,157.0,0.07615,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2864,13.4,0.10024,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,15.2,0.09769,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,16.5,0.09853,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2863,17.4,0.09784,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2863,18.0,0.09663,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2864,18.7,0.09697,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2860,13.9,0.09314,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2861,15.9,0.09049,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2861,16.7,0.08794,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2859,17.0,0.08614,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2858,17.0,0.08651,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2858,17.4,0.08602,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5726,8.3,0.08977,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,7.9,0.09049,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,7.3,0.09123,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,7.3,0.09381,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,7.0,0.09499,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,6.6,0.09508,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5724,17.8,0.08301,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,21.2,0.08219,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,22.9,0.08237,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,24.2,0.08172,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,25.1,0.08254,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5725,25.8,0.08286,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,9.7,0.09168,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,10.1,0.09306,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,9.9,0.09529,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,10.1,0.09660,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8585,9.9,0.09680,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,9.7,0.09534,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8585,24.0,0.08146,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8568,29.5,0.08066,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8585,32.0,0.08073,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,33.7,0.08062,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,35.5,0.08128,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8586,36.4,0.08247,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1445,21.1,0.08937,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1446,25.4,0.08708,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1448,27.8,0.08608,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1446,29.3,0.08492,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1444,29.3,0.08371,0,0,0,0,1,0,0,0,0,0,0,0,0,0
